address,accountid,updated
Sub-Saharan Africa,292494523,02-12-2011
Europe,361825549,1/23/2016
Middle East and North Africa,141515767,02-01-2011
Sub-Saharan Africa,500364005,10-06-2012
Europe,127481591,12-05-2015
Sub-Saharan Africa,482292354,8/21/2012
Asia,844532620,3/20/2011
Asia,564251220,05-12-2017
Sub-Saharan Africa,411809480,01-10-2015
Central America and the Caribbean,327881228,7/20/2015
Sub-Saharan Africa,773452794,8/24/2016
Europe,479823005,11/15/2012
Europe,498603188,2/27/2015
Asia,151717174,09-02-2016
Middle East and North Africa,181401288,7/21/2011
Australia and Oceania,500204360,10-04-2013
Central America and the Caribbean,640987718,11/30/2015
Europe,206925189,4/27/2015
Middle East and North Africa,221503102,5/19/2010
Europe,878520286,10-02-2011
Sub-Saharan Africa,192088067,6/18/2016
Europe,746630275,8/31/2010
Europe,246883237,4/22/2012
Asia,967895781,9/28/2013
Europe,305029237,12/26/2015
Europe,223957431,2/28/2017
Europe,510666692,10/13/2016
Europe,121455848,6/19/2011
Australia and Oceania,332936227,12-03-2013
Central America and the Caribbean,692031657,7/20/2011
Europe,365978467,7/21/2015
Europe,392325484,09-01-2011
Central America and the Caribbean,528934037,01-09-2017
Europe,603977954,7/29/2015
Central America and the Caribbean,965943562,05-09-2015
Middle East and North Africa,233629691,8/30/2013
Asia,246147668,1/13/2017
Europe,212921321,7/18/2013
Sub-Saharan Africa,763686978,5/13/2015
Central America and the Caribbean,798493468,11/24/2016
Europe,637702119,04-04-2013
Asia,671986758,05-04-2012
Middle East and North Africa,912333714,03-02-2015
Europe,540041816,11-03-2012
Middle East and North Africa,156722390,08-01-2012
Europe,434299266,2/21/2011
Europe,765008771,12-10-2013
Central America and the Caribbean,611399734,3/22/2016
Australia and Oceania,856333482,4/27/2014
Middle East and North Africa,652983844,10/29/2016
Europe,574837148,11-11-2010
Australia and Oceania,365692222,12-05-2010
Sub-Saharan Africa,289660394,8/22/2017
Sub-Saharan Africa,681165492,7/26/2013
Asia,594943845,10/21/2012
Sub-Saharan Africa,956044280,7/24/2011
Europe,509828126,4/15/2014
Europe,771969211,12/15/2015
Central America and the Caribbean,178453862,8/27/2011
Europe,835580909,4/14/2017
Middle East and North Africa,869961678,04-12-2011
Central America and the Caribbean,278519999,6/14/2015
Europe,478492200,2/26/2014
Europe,257427108,04-10-2012
Europe,723186051,5/13/2015
Sub-Saharan Africa,353942859,5/15/2011
Sub-Saharan Africa,848183858,1/18/2012
Sub-Saharan Africa,374707877,12/25/2010
Europe,322626245,9/16/2010
Europe,351362788,11/14/2010
Europe,640653836,3/18/2012
Europe,540548217,9/20/2012
Sub-Saharan Africa,821407258,8/19/2011
Sub-Saharan Africa,523904788,11-07-2012
Europe,109027135,10/27/2013
Central America and the Caribbean,108073127,10/20/2016
Sub-Saharan Africa,672654092,7/31/2017
Middle East and North Africa,224693858,11/25/2016
Europe,406428754,05-01-2016
Central America and the Caribbean,230407607,12/20/2014
Asia,129491746,9/22/2012
Middle East and North Africa,606854999,8/15/2014
North America,885983693,05-04-2011
Sub-Saharan Africa,260676658,12/17/2013
Sub-Saharan Africa,345045220,5/20/2011
Europe,123513209,11/21/2012
Europe,900816953,06-10-2013
Sub-Saharan Africa,452005279,02-02-2013
Europe,672439515,11-12-2012
Sub-Saharan Africa,827793490,11/20/2010
Central America and the Caribbean,704053533,3/28/2014
Sub-Saharan Africa,157518470,09-04-2011
Middle East and North Africa,464799630,6/26/2016
Australia and Oceania,272820842,8/20/2015
Middle East and North Africa,548818433,11/24/2012
Europe,530341231,9/25/2016
Sub-Saharan Africa,875250566,11-03-2013
Europe,511720263,2/26/2011
Sub-Saharan Africa,688236653,6/13/2016
Sub-Saharan Africa,923598563,2/26/2012
Central America and the Caribbean,356917321,02-04-2012
Europe,897616755,1/20/2012
Central America and the Caribbean,475433194,8/19/2016
Central America and the Caribbean,690415465,7/14/2012
Australia and Oceania,962924897,04-12-2010
Central America and the Caribbean,783635318,05-09-2017
Middle East and North Africa,163533055,8/13/2012
Asia,983916938,1/17/2017
Middle East and North Africa,246398293,4/14/2015
Asia,422900950,07-05-2011
Asia,905661237,06-05-2011
Sub-Saharan Africa,257227981,7/27/2017
Sub-Saharan Africa,260462510,04-09-2011
Europe,968538653,04-06-2016
Europe,254942739,02-04-2012
Sub-Saharan Africa,563473594,04-10-2013
Europe,358242547,11-02-2012
Asia,873673427,12-06-2015
Sub-Saharan Africa,264502561,3/20/2014
Asia,355778777,1/18/2011
Sub-Saharan Africa,792863404,06-12-2011
Europe,391430270,5/22/2017
Europe,287465703,10/25/2016
Europe,787268531,3/14/2010
Australia and Oceania,917450082,02-11-2014
Central America and the Caribbean,674934184,02-06-2012
Sub-Saharan Africa,576957166,10-11-2011
Sub-Saharan Africa,311067855,6/23/2017
Asia,985127580,6/13/2012
Europe,177310168,10/19/2014
Europe,486101949,06-02-2013
Asia,980301749,4/27/2017
Central America and the Caribbean,349020898,6/23/2013
Sub-Saharan Africa,951683223,02-01-2017
Sub-Saharan Africa,268025052,8/15/2013
Asia,348095214,3/15/2016
Sub-Saharan Africa,162255036,07-01-2016
Sub-Saharan Africa,551178348,9/15/2010
Sub-Saharan Africa,175851476,7/20/2011
Australia and Oceania,467573249,9/17/2013
Europe,677954995,12/25/2012
Europe,128920543,7/17/2017
Europe,462706220,02-03-2014
Middle East and North Africa,691860854,08-04-2016
Europe,349245774,07-10-2017
